timestamp,open,high,low,close,volume
2025-01-23 01:00:00,103307.51000000,103653.84000000,102588.15000000,102931.94000000,1272.26098000
2025-01-23 02:00:00,102931.94000000,102983.39000000,102100.00000000,102655.34000000,1943.13807000
2025-01-23 03:00:00,102655.34000000,103007.75000000,102197.34000000,102461.25000000,785.20592000
2025-01-23 04:00:00,102461.24000000,102493.15000000,101575.50000000,102075.22000000,1629.12288000
2025-01-23 05:00:00,102075.21000000,102639.36000000,102000.00000000,102532.52000000,890.29202000
2025-01-23 06:00:00,102532.52000000,102968.31000000,102209.23000000,102256.70000000,596.11322000
2025-01-23 07:00:00,102256.71000000,102803.20000000,102084.51000000,102710.27000000,806.65241000
2025-01-23 08:00:00,102710.28000000,102724.94000000,102060.00000000,102215.75000000,613.31177000
2025-01-23 09:00:00,102215.75000000,102467.73000000,101650.00000000,101672.01000000,896.38504000
2025-01-23 10:00:00,101672.00000000,102072.72000000,101262.28000000,101683.61000000,1022.21944000
2025-01-23 11:00:00,101683.61000000,102195.03000000,101683.60000000,101944.49000000,682.04550000
2025-01-23 12:00:00,101944.50000000,102135.05000000,101401.31000000,101635.58000000,878.62297000
2025-01-23 13:00:00,101635.59000000,102709.93000000,101281.62000000,102512.28000000,1288.57422000
2025-01-23 14:00:00,102512.28000000,106050.86000000,101989.81000000,105213.50000000,5857.46597000
2025-01-23 15:00:00,105213.60000000,105792.00000000,102643.49000000,105263.52000000,9216.36495000
2025-01-23 16:00:00,105263.52000000,106850.00000000,105028.00000000,105139.18000000,5160.86951000
2025-01-23 17:00:00,105139.18000000,106230.42000000,104211.00000000,105927.78000000,1979.38581000
2025-01-23 18:00:00,105927.78000000,106142.46000000,105100.00000000,105424.39000000,1193.91319000
2025-01-23 19:00:00,105424.39000000,105514.73000000,103399.98000000,103770.04000000,1841.09666000
2025-01-23 20:00:00,103770.05000000,106421.03000000,102559.20000000,103284.48000000,9302.16037000
2025-01-23 21:00:00,103284.01000000,103410.57000000,102195.70000000,103079.08000000,2569.80136000
2025-01-23 22:00:00,103079.08000000,104700.00000000,102981.07000000,103978.82000000,1845.24984000
2025-01-23 23:00:00,103978.82000000,104544.48000000,103776.06000000,103910.34000000,723.19154000
2025-01-24 00:00:00,103910.35000000,104157.98000000,103424.58000000,103446.62000000,794.72778000
2025-01-24 01:00:00,103446.62000000,103900.00000000,103039.87000000,103234.30000000,733.04731000
2025-01-24 02:00:00,103234.30000000,103545.39000000,102956.72000000,103016.01000000,790.61956000
2025-01-24 03:00:00,103016.00000000,104298.00000000,102750.00000000,103891.75000000,1466.83904000
2025-01-24 04:00:00,103891.75000000,104924.40000000,103804.77000000,104631.99000000,924.65561000
2025-01-24 05:00:00,104631.98000000,105262.13000000,104543.21000000,105222.15000000,885.69764000
2025-01-24 06:00:00,105222.15000000,105355.00000000,104628.00000000,104991.01000000,677.90826000
2025-01-24 07:00:00,104991.01000000,105181.82000000,104660.00000000,105046.80000000,654.23540000
2025-01-24 08:00:00,105046.79000000,105650.00000000,104922.41000000,105500.76000000,938.64874000
2025-01-24 09:00:00,105500.76000000,105759.00000000,105053.80000000,105146.67000000,853.12570000
2025-01-24 10:00:00,105146.67000000,105428.00000000,105051.46000000,105416.75000000,671.89744000
2025-01-24 11:00:00,105416.75000000,105527.69000000,105214.15000000,105420.10000000,516.72232000
2025-01-24 12:00:00,105420.11000000,105586.29000000,105183.65000000,105526.58000000,627.41495000
2025-01-24 13:00:00,105526.58000000,105793.61000000,104982.03000000,105118.07000000,752.61070000
2025-01-24 14:00:00,105118.06000000,106321.66000000,104669.17000000,105758.00000000,2210.34491000
2025-01-24 15:00:00,105758.00000000,105990.50000000,105259.49000000,105859.98000000,1331.94447000
2025-01-24 16:00:00,105859.99000000,106174.99000000,105589.00000000,105645.89000000,1432.51588000
2025-01-24 17:00:00,105645.88000000,106699.99000000,105612.00000000,106458.46000000,1372.53034000
2025-01-24 18:00:00,106458.47000000,107120.00000000,106056.95000000,106327.72000000,1755.13607000
2025-01-24 19:00:00,106327.31000000,106606.01000000,105687.00000000,105760.94000000,923.18803000
2025-01-24 20:00:00,105760.93000000,105781.00000000,104736.84000000,104859.11000000,1341.56971000
2025-01-24 21:00:00,104859.40000000,105391.47000000,104859.40000000,105124.61000000,748.98359000
2025-01-24 22:00:00,105124.61000000,105477.00000000,104706.08000000,104777.25000000,540.29145000
2025-01-24 23:00:00,104777.25000000,104925.20000000,104456.89000000,104870.50000000,664.58527000
2025-01-25 00:00:00,104870.51000000,104870.51000000,104361.89000000,104419.59000000,772.42555000
2025-01-25 01:00:00,104419.58000000,104815.01000000,104380.15000000,104738.00000000,449.96362000
2025-01-25 02:00:00,104738.01000000,104830.27000000,104473.67000000,104559.54000000,266.96726000
2025-01-25 03:00:00,104559.54000000,105280.82000000,104461.00000000,105202.40000000,540.50196000
2025-01-25 04:00:00,105202.40000000,105202.40000000,104620.00000000,104648.00000000,332.21617000
2025-01-25 05:00:00,104647.99000000,104701.18000000,104236.95000000,104365.97000000,368.22303000
2025-01-25 06:00:00,104365.96000000,104480.00000000,104216.81000000,104308.00000000,464.86744000
2025-01-25 07:00:00,104308.00000000,104523.25000000,104287.24000000,104385.98000000,241.89788000
2025-01-25 08:00:00,104385.99000000,104497.54000000,104135.71000000,104341.98000000,360.18470000
2025-01-25 09:00:00,104341.99000000,104450.48000000,104276.41000000,104366.63000000,262.45644000
2025-01-25 10:00:00,104366.62000000,104661.04000000,104106.09000000,104540.00000000,367.66841000
2025-01-25 11:00:00,104540.00000000,104700.01000000,104391.27000000,104670.99000000,264.28735000
2025-01-25 12:00:00,104670.99000000,104792.00000000,104456.00000000,104753.07000000,258.87101000
2025-01-25 13:00:00,104753.08000000,104868.00000000,104629.31000000,104717.04000000,395.63454000
2025-01-25 14:00:00,104717.05000000,104721.99000000,104473.16000000,104600.01000000,268.90837000
2025-01-25 15:00:00,104600.00000000,105111.11000000,104594.01000000,104897.79000000,540.70270000
2025-01-25 16:00:00,104897.79000000,104989.49000000,104591.67000000,104654.90000000,424.39657000
2025-01-25 17:00:00,104654.91000000,104934.39000000,104449.75000000,104899.71000000,546.35715000
2025-01-25 18:00:00,104899.72000000,105286.52000000,104843.25000000,104983.49000000,486.25249000
2025-01-25 19:00:00,104983.50000000,105187.50000000,104909.09000000,105055.16000000,374.57154000
2025-01-25 20:00:00,105055.16000000,105200.00000000,104965.70000000,104965.71000000,216.43100000
2025-01-25 21:00:00,104965.71000000,105123.50000000,104866.66000000,105102.84000000,391.43699000
2025-01-25 22:00:00,105102.84000000,105250.00000000,105004.53000000,105077.54000000,221.14763000
2025-01-25 23:00:00,105077.54000000,105134.90000000,104696.00000000,104746.85000000,251.95397000
2025-01-26 00:00:00,104746.86000000,104841.84000000,104515.44000000,104599.96000000,379.34566000
2025-01-26 01:00:00,104599.95000000,104772.00000000,104503.70000000,104621.37000000,307.90424000
